"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PAXX.14",3.3502800553486e-19,-0.78224457766485,0.235,0.529,1.12361692496281e-14,"C21","PAXX"
"HNRNPF.6",3.38822267405972e-19,-0.694755487530827,0.43,0.688,1.13634212042615e-14,"C21","HNRNPF"
"TMEM167A.5",3.61167211129616e-19,0.618001349785099,0.484,0.24,1.21128259268651e-14,"C21","TMEM167A"
"CDC25B.9",3.65350843276886e-19,-0.800011843592548,0.036,0.317,1.22531365818202e-14,"C21","CDC25B"
"TBCB.6",3.69408429512774e-19,-0.750522903484834,0.303,0.574,1.23892199089994e-14,"C21","TBCB"
"PTMS.11",4.02022165287857e-19,0.460528038748911,0.344,0.133,1.34830193794242e-14,"C21","PTMS"
"TRIM25.1",4.74022844921228e-19,0.455857314740969,0.222,0.07,1.58977781729681e-14,"C21","TRIM25"
"TAP1.13",4.75026302461014e-19,-0.839758915807398,0.217,0.507,1.59314321319375e-14,"C21","TAP1"
"RAP1B.11",5.18458489875659e-19,-0.751125357776915,0.43,0.689,1.73880608334499e-14,"C21","RAP1B"
"EIF3E.12",5.54681372311961e-19,-0.709526708341849,0.525,0.719,1.86029038645986e-14,"C21","EIF3E"
"C9orf16.8",5.70118624744336e-19,-0.712132795247675,0.416,0.664,1.91206384366755e-14,"C21","C9orf16"
"TAGAP.5",5.84664110159653e-19,-0.726927004210491,0.217,0.502,1.96084649265344e-14,"C21","TAGAP"
"TM2D2",6.18714637569085e-19,0.544355356654708,0.258,0.09,2.0750451514792e-14,"C21","TM2D2"
"UBE2R2.1",8.10718025322853e-19,0.385079500582292,0.258,0.088,2.71898611332778e-14,"C21","UBE2R2"
"FKBP11.12",8.12074335703493e-19,-0.852312949423326,0.095,0.379,2.72353490708237e-14,"C21","FKBP11"
"TESPA1.7",8.72444830565606e-19,-0.70584173964956,0.009,0.279,2.92600547275093e-14,"C21","TESPA1"
"NKG7.18",8.87142627427635e-19,-3.23218609362855,0.072,0.345,2.9752989438668e-14,"C21","NKG7"
"PLD3.5",1.04386782750359e-18,0.685933002898499,0.48,0.25,3.50092391988152e-14,"C21","PLD3"
"HNRNPM.5",1.16319508423815e-18,-0.757167145437871,0.303,0.566,3.90112367351792e-14,"C21","HNRNPM"
"GATA3.9",1.39451439199053e-18,-0.775231002428243,0.045,0.33,4.67692236785785e-14,"C21","GATA3"
"TMEM70.3",1.42000942400174e-18,0.632313492299283,0.367,0.161,4.76242760621705e-14,"C21","TMEM70"
"SOCS1.10",1.79956998257973e-18,-0.833177542271985,0.104,0.395,6.03539780757589e-14,"C21","SOCS1"
"SSFA2.2",2.01563399107593e-18,0.39856030928077,0.199,0.06,6.76003327927046e-14,"C21","SSFA2"
"NAP1L1.11",2.08731620611438e-18,-0.66193879189831,0.462,0.695,7.00044109206641e-14,"C21","NAP1L1"
"EMP3.10",2.68218790068376e-18,0.721767824277016,0.964,0.906,8.9955217813132e-14,"C21","EMP3"
"TNFAIP8.7",2.69924922048975e-18,-0.659820657432056,0.321,0.6,9.05274203567853e-14,"C21","TNFAIP8"
"TOLLIP.2",2.73196497827842e-18,0.411171164910346,0.335,0.135,9.16246414415017e-14,"C21","TOLLIP"
"RORA.10",2.78873176030063e-18,-0.768744115615519,0.072,0.366,9.35284857769625e-14,"C21","RORA"
"MYCBP2.4",2.808473020802e-18,-0.689207166980927,0.104,0.395,9.41905681716574e-14,"C21","MYCBP2"
"ARHGAP9.9",2.81000631331225e-18,-0.663755893000344,0.095,0.38,9.42419917358663e-14,"C21","ARHGAP9"
"ATRX.5",2.87415897379252e-18,-0.723410391439147,0.176,0.464,9.63935436630536e-14,"C21","ATRX"
"GZMA.19",3.02548934547604e-18,-1.90362915738314,0.113,0.392,1.01468861668575e-13,"C21","GZMA"
"HIKESHI.1",3.15940619081324e-18,0.8870170926599,0.475,0.261,1.05960164827494e-13,"C21","HIKESHI"
"RNPS1.4",3.34182254734915e-18,-0.713967751963774,0.281,0.548,1.12078044592996e-13,"C21","RNPS1"
"TRIM22.9",3.57473139878074e-18,-0.77392053541621,0.267,0.535,1.19889341652309e-13,"C21","TRIM22"
"KLHL6.2",3.71628489910632e-18,0.449434783575227,0.213,0.068,1.24636762946228e-13,"C21","KLHL6"
"IKZF3.14",3.83014098391142e-18,-0.823852982772063,0.036,0.313,1.28455268318421e-13,"C21","IKZF3"
"FYN.15",4.18794878885138e-18,-0.846234539963117,0.122,0.403,1.40455426480498e-13,"C21","FYN"
"SLFN5.12",4.80446861483275e-18,-0.843648571390432,0.109,0.386,1.61132268404261e-13,"C21","SLFN5"
"C9orf78.5",5.66556476681011e-18,-0.727307079480668,0.321,0.585,1.90011711149277e-13,"C21","C9orf78"
"CCND2.9",5.78265579970056e-18,-0.781027926016178,0.095,0.377,1.93938710210357e-13,"C21","CCND2"
"JUN.15",5.88584245755297e-18,0.961017822622876,0.692,0.458,1.97399384341412e-13,"C21","JUN"
"GADD45B.6",5.88624647980047e-18,1.57830774979838,0.538,0.325,1.97412934439548e-13,"C21","GADD45B"
"SVIP.3",6.11856983296757e-18,-0.728738903191301,0.054,0.33,2.05204595058066e-13,"C21","SVIP"
"TPR.6",6.44211862528982e-18,-0.707617467262797,0.262,0.544,2.1605577445497e-13,"C21","TPR"
"C12orf75.14",7.65586116324205e-18,-0.861458104048366,0.077,0.367,2.56762271692812e-13,"C21","C12orf75"
"SNX17.3",7.76488969871403e-18,-0.683984546724913,0.176,0.461,2.60418870715471e-13,"C21","SNX17"
"ALDOC",9.84563631855578e-18,0.446173180949531,0.199,0.062,3.30202950851724e-13,"C21","ALDOC"
"ATM.10",1.02994498492603e-17,-0.830022665308448,0.1,0.37,3.45422949044491e-13,"C21","ATM"
"CAB39L",1.25525137160126e-17,0.298055037842212,0.113,0.024,4.2098620500763e-13,"C21","CAB39L"
"CCNG2.1",1.31169364449121e-17,0.374184247675184,0.176,0.051,4.39915814489463e-13,"C21","CCNG2"
"PCBD1.2",1.32807505095964e-17,0.51289609691302,0.371,0.165,4.45409810590843e-13,"C21","PCBD1"
"DUSP1.14",1.33394922057895e-17,0.676746856882591,0.647,0.408,4.47379889597767e-13,"C21","DUSP1"
"BOLA2-SMG1P6",1.43248209974179e-17,0.341113644529406,0.299,0.112,4.804258466114e-13,"C21","BOLA2-SMG1P6"
"DDIT4.14",1.46202529754376e-17,-0.343262342195325,0.353,0.648,4.90334044290227e-13,"C21","DDIT4"
"RPL27A.13",1.82146294641451e-17,-0.515613250565125,0.769,0.887,6.10882242968498e-13,"C21","RPL27A"
"RALBP1",2.12263481288212e-17,0.720116458424043,0.475,0.254,7.11889263544406e-13,"C21","RALBP1"
"ORMDL3.4",2.18550919456656e-17,-0.704072218657223,0.041,0.304,7.32976073673732e-13,"C21","ORMDL3"
"RABAC1.11",2.55005311259868e-17,-0.661191978686917,0.462,0.699,8.55236812903346e-13,"C21","RABAC1"
"HLA-F.9",2.68723203719579e-17,-0.706025194616329,0.439,0.665,9.01243880634724e-13,"C21","HLA-F"
"ATP6V0E2.6",2.72912868821553e-17,-0.660245661543062,0.027,0.285,9.15295179453725e-13,"C21","ATP6V0E2"
"UQCRQ.6",2.72960319685722e-17,0.719954907100529,0.805,0.658,9.15454320161973e-13,"C21","UQCRQ"
"TALDO1.8",2.87146260802614e-17,0.612846014544863,0.733,0.558,9.63031129479807e-13,"C21","TALDO1"
"RENBP.2",3.58309443669973e-17,0.30482920854892,0.204,0.064,1.20169821218035e-12,"C21","RENBP"
"EXOSC4.2",3.65612179921539e-17,0.444089347837359,0.276,0.104,1.22619012902086e-12,"C21","EXOSC4"
"C1QBP.10",3.95626104250601e-17,-0.670671973953238,0.281,0.541,1.32685082843567e-12,"C21","C1QBP"
"RDX.2",3.96961715023857e-17,0.486163160183063,0.303,0.12,1.33133019984701e-12,"C21","RDX"
"LINC02256.1",4.27613675384318e-17,0.283586319040309,0.231,0.076,1.43413074450393e-12,"C21","LINC02256"
"CSK.9",4.47369998802112e-17,-0.735493872501166,0.172,0.435,1.50038950198252e-12,"C21","CSK"
"RPS24.5",4.56465711016456e-17,-0.306286341309463,0.986,0.99,1.53089470160699e-12,"C21","RPS24"
"TRAPPC6A.5",5.15796873877234e-17,-0.664826358475357,0.063,0.333,1.72987955560947e-12,"C21","TRAPPC6A"
"XRCC5.6",5.84982475948334e-17,-0.650549484007572,0.394,0.629,1.96191422783552e-12,"C21","XRCC5"
"C12orf49",6.12708421237887e-17,0.341901802026505,0.213,0.07,2.05490150314763e-12,"C21","C12orf49"
"GIMAP5.8",6.14801984212854e-17,-0.730071400216487,0.05,0.306,2.06192289465307e-12,"C21","GIMAP5"
"SFXN1.7",6.44710049540411e-17,-0.604974501206115,0.09,0.361,2.16222856414863e-12,"C21","SFXN1"
"LY9.7",6.53436672576476e-17,-0.685542718417667,0.023,0.277,2.19149591248698e-12,"C21","LY9"
"LSM14A.5",6.85839113512985e-17,-0.652560714409563,0.285,0.544,2.30016721889985e-12,"C21","LSM14A"
"TEX264.6",6.90479154672632e-17,-0.726015590908679,0.136,0.394,2.31572898894107e-12,"C21","TEX264"
"SAT2.1",7.11728441696805e-17,0.586519910136049,0.489,0.261,2.38699484776274e-12,"C21","SAT2"
"SLC6A6.4",8.02864755563574e-17,0.368502064222177,0.285,0.108,2.69264781720911e-12,"C21","SLC6A6"
"GCA.3",8.66624842367516e-17,0.42280743146094,0.249,0.09,2.90648639633218e-12,"C21","GCA"
"PSMB10.13",9.49378734621856e-17,-0.665881045292706,0.516,0.719,3.18402640017478e-12,"C21","PSMB10"
"LCP2.10",9.6024286006855e-17,-0.706317211350156,0.299,0.568,3.2204625040979e-12,"C21","LCP2"
"ARPC1B.13",1.01103291593796e-16,-0.59016905390647,0.814,0.913,3.39080219347273e-12,"C21","ARPC1B"
"SRSF10.6",1.04320274782751e-16,-0.712235927013199,0.339,0.586,3.49869337566391e-12,"C21","SRSF10"
"WAS.7",1.05434126692147e-16,-0.611567172282985,0.303,0.569,3.53604974100124e-12,"C21","WAS"
"BUB3.10",1.07375260485075e-16,-0.686972375691084,0.258,0.508,3.60115148614846e-12,"C21","BUB3"
"PRDX1.10",1.11302354105617e-16,0.716370778882431,0.747,0.595,3.73285835199418e-12,"C21","PRDX1"
"RPL27.11",1.14907075975131e-16,-0.455418084740957,0.896,0.949,3.85375351405394e-12,"C21","RPL27"
"RRAGC.1",1.2473860788378e-16,0.364628585309609,0.294,0.116,4.1834834312062e-12,"C21","RRAGC"
